word,translation,tag
the smaller part,小半,cedict
against the current,逆水,cedict
the last straw,导火线,cedict
the last supper,最后晚餐,cedict
to go out of bounds,出界,cedict
call the score,报分,cedict
destroy the four olds,破四旧,cedict
the same evening,当晚,cedict
the last days,日薄崦嵫,cedict
to get out of class,下课,cedict
the whole family,一家,cedict
the whole family is invited,阖第光临,cedict
sound of friction of fabric,綷縩,cedict
off the charts,爆表,cedict
the great seal,大篆,cedict
the slightest thing,秋毫,cedict
the full price,满盘,cedict
the old tricks,套套,cedict
the fish hold,鱼舱,cedict
competition against the clock,计时比赛,cedict
the next stop,下一站,cedict
to go on a tour,出游,cedict
beside the point,文不对题,cedict
success across the board,满堂红,cedict
the permanent five,五常,cedict
the four noble truths,四圣谛,cedict
the past few days,前几天,cedict
the great compassion mantra,大悲咒,cedict
surpassing the physical world,超物理,cedict
the whole night,彻夜,cedict
the yongle great encyclopedia,永乐大典,cedict
under the skin,皮下,cedict
honesty is the best policy,巧诈不如拙诚,cedict
the best policy,上上之策,cedict
around the city,环城,cedict
alexander the great,亚历山大大帝,cedict
the great depression,大萧条,cedict
the great helmsman,大舵手,cedict
the great lakes,五大湖,cedict
the great powers,列强,cedict
the great unwashed,黎民,cedict
to search for and seize,查缉,cedict
tribes under the yellow emperor,黄帝族,cedict
the second sex,第二性,cedict
the silver point,银点,cedict
the objective world,客观世界,cedict
the five senses,感觉器官,cedict
one out of a multitude,之一,cedict
the four cleanups movement,四清,cedict
the four corners,四角,cedict
the four directions,四维,cedict
the four heavenly kings,四大天王,cedict
the four limbs,四维,cedict
the four olds,四旧,cedict
the four rivers,四渎,cedict
the four seasons,春夏秋冬,cedict
the buck stops here,好汉做事好汉当,cedict
cold snap during the spring,倒春寒,cedict
the real body,真身,cedict
to take no notice of,不理,cedict
the late emperor,先君,cedict
director of board of rites,礼部尚书,cedict
the five supernatural powers,五通,cedict
could it be,莫非,cedict
approaching the end,行将结束,cedict
famous throughout the world,蜚声世界,cedict
the five aggregates,五蕴,cedict
the five confucian relationships,五伦,cedict
the five impurities,五浊,cedict
the front side,前边,cedict
the external world,外间,cedict
to go on a trip,转一趟,cedict
the whole body,全身,cedict
the late qing,晚清,cedict
the nuclear problem,核问题,cedict
to go on a diet,节食,cedict
the next step,下一步,cedict
against the wind,顶风,cedict
the feudal system,分封制,cedict
the starting point,肇端,cedict
the previous few days,前几天,cedict
the current month,本月,cedict
to go on a journey,出门,cedict
the entire nation,举国上下,cedict
the local population,当地居民,cedict
without the slightest doubt,毫不怀疑,cedict
the emperor's hand,御手,cedict
the bureaucratic system,官制,cedict
near the mark,挨边,cedict
the mortal world,乱世,cedict
the literary world,文苑,cedict
without the slightest difference,别无二致,cedict
bags under the eyes,眼袋,cedict
puffiness under the eyes,眼袋,cedict
reds under the beds,前怕狼后怕虎,cedict
under the circumstances,事到今日,cedict
the whole class,全班,cedict
the little details,点点滴滴,cedict
the strong force,强作用力,cedict
the full amount,全额,cedict
the far east,亚太区,cedict
the front line,攻击线,cedict
along the line,沿线,cedict
covering the whole land,满山遍野,cedict
the secular world,人世间,cedict
roughly the same,大差不差,cedict
virtually the same,大同小异,cedict
the least bit,一点,cedict
the woman herself,本尊,cedict
the nine top officials,九卿,cedict
the dark side,阴暗面,cedict
the nether world,地府,cedict
the month childbirth is due,临月儿,cedict
the natural world,自然界,cedict
the outside world,外界,cedict
the sporting world,体育界,cedict
the teeming world,花花世界,cedict
the wider world,世面,cedict
throughout the world,普天下,cedict
the full picture,全豹,cedict
the entire country,举国,cedict
to go on a hike,野游,cedict
the property market,房产,cedict
the exam area,考区,cedict
to go on a binge,饮酒作乐,cedict
to get out of danger,脱险,cedict
ring around the moon,月晕,cedict
hair around the anus,肛毛,cedict
the present age,当世,cedict
the wrong side,背面,cedict
against the stream,逆流,cedict
the sex industry,性产业,cedict
mountain of flames of legend,火焰山,cedict
the open ocean,远洋,cedict
the rebel party,乱党,cedict
the large intestine,大肠,cedict
to get out of trouble,出险,cedict
the wheel comes full circle,周而复始,cedict
the human body,形骸,cedict
the real situation,实况,cedict
the result becomes apparent,已见分晓,cedict
the whole front,全线,cedict
the twenty-eight constellations,二十八宿,cedict
knowledge is the best charity,授人以鱼不如授人以渔,cedict
against the bristles,折笔,cedict
against the headwind,戗风,cedict
the mei lanfang school,梅派,cedict
the school authorities,校方,cedict
inside the eye,眼底,cedict
to make full use of,发扬,cedict
the actual situation,三七二十一,cedict
the reformist party,改革派,cedict
the chinese nation,中华民族,cedict
the body shop,美体小铺,cedict
descendant via the female line,外孙,cedict
the next generation,下一代,cedict
the small investor,散户,cedict
below the line,线下,cedict
the whole amount,全数,cedict
worth the money,值得,cedict
the early ming,明初,cedict
the current period,本期,cedict
the current office holder,当世,cedict
around the clock,日夜,cedict
temple of goddess of fertility,娘娘庙,cedict
the cooked duck flew away,煮熟的鸭子飞了,cedict
the whole story,原委,cedict
the international community,国际社会,cedict
affairs within the palace,内务,cedict
the big picture,大局,cedict
god the father,圣父,cedict
the sex trade,性交易,cedict
the local commander,提督,cedict
the insured person,受保人,cedict
the person involved,当事者,cedict
above the common,逸尘,cedict
check the record,检录,cedict
the basque country,巴斯克,cedict
outside the country,域外,cedict
the opposite side,对立面,cedict
the warring states period,战国,cedict
the software industry,软体业,cedict
the negative side,负面,cedict
the reverse side,背面,cedict
the weak force,弱作用力,cedict
the rosicrucian order,蔷薇十字团,cedict
the six directions,六合,cedict
the full moon,望日,cedict
within the bosom,怀抱,cedict
the imperial family,皇族,cedict
within the borders,境内,cedict
within the norms,分寸,cedict
within the rules,规范,cedict
to get out of whack,失序,cedict
drop the subject,别提了,cedict
without the slightest scruple,肆无忌惮,cedict
without the slightest hesitation,毫不犹豫,cedict
the royal society,皇家学会,cedict
the whole length,全线,cedict
the current situation,现况,cedict
the bride's side,女方,cedict
half the sky,半边天,cedict
the lily family,百合科,cedict
across the board,通盘,cedict
lightly touching the water,点水,cedict
the whole earth,寰宇,cedict
inside the city,市内,cedict
the full works,满盘,cedict
the grouper family,鮨科,cedict
the pangolin family,鲮鲤科,cedict
the family's financial circumstances,家景,cedict
the hong family,洪家,cedict
the zhao family,赵家人,cedict
to get on a horse,上马,cedict
the chinese side,中方,cedict
the korean side,韩方,cedict
the losing side,负方,cedict
the prosecuting side,检控方,cedict
god the son,圣子,cedict
the public purse,公家,cedict
the less experienced ones,后进,cedict
the road ahead,前路,cedict
facing the street,当街,cedict
the sun god,日神,cedict
the white race,白种,cedict
behind-the-scenes story,秘辛,cedict
the ancient silk road,丝绸古路,cedict
below the foot,足下,cedict
across the middle,拦腰,cedict
facing the water,临水,cedict
the fair sex,红粉,cedict
the banking business,金融业,cedict
throughout the night,通宵,cedict
the whole audience,全场,cedict
the past is dead,往事已矣,cedict
the upper body,上半身,cedict
the north star,櫆师,cedict
the whole journey,一路,cedict
the character ten,十字,cedict
the catering industry,酒店业,cedict
the starting line,起跑线,cedict
the imperial court,皇朝,cedict
the whole province,全省,cedict
the root cause,业根,cedict
the morning sun,朝阳,cedict
the final bell,终场锣声,cedict
the store front,临街房,cedict
the top margin,上边,cedict
the emperor's body,圣躬,cedict
the red cross,红十字会,cedict
the silk road,丝绸之路,cedict
the doppler effect,多普勒效应,cedict
it may be said,可言,cedict
the real mccoy,本尊,cedict
the real meaning,真谛,cedict
along the river,沿江,cedict
fire beneath the surface,隐燃,cedict
the qing court,清廷,cedict
the class enemy,人民公敌,cedict
the bronze age,青铜器时代,cedict
the pro-war faction,主战派,cedict
the landlord class,地主阶级,cedict
the male sex,男性,cedict
the big dipper,北斗星,cedict
the opium war,鸦片战争,cedict
the crimean war,克里木战争,cedict
the korean war,六二五战争,cedict
the final straw,压死骆驼的最后一根稻草,cedict
outside the body,体外,cedict
the main points,要旨,cedict
the capitalist class,资产阶级,cedict
the earth's magnetic field,地磁场,cedict
the whole neighborhood,四邻八舍,cedict
the west wing,白宫群英,cedict
the eight immortals,八仙,cedict
the eight influential points,八会穴,cedict
the eight precepts,八戒,cedict
the lion's share,大头,cedict
the international media,国际媒体,cedict
double the amount,两倍,cedict
the final years,末年,cedict
outside the door,门外,cedict
the nine-toothed rake,九齿钉耙,cedict
the exam period,考期,cedict
the sky above,上天,cedict
the nine springs,九泉,cedict
the tiniest bit,一分一毫,cedict
the north temperate zone,北温带,cedict
the north frigid zone,北寒带,cedict
the female sex,女性,cedict
the top ranks,前茅,cedict
the global south,全球南方,cedict
along the border,沿边,cedict
the international communist movement,国际共产主义运动,cedict
the catholic church,天主教会,cedict
throughout the land,海内,cedict
the north magnetic pole,北极,cedict
the north pole,北极,cedict
the distant past,上古,cedict
the south magnetic pole,南极,cedict
the south pole,南极,cedict
the die is cast,无可挽回,cedict
to forget for a while,丢开,cedict
the essential character,神髓,cedict
the dead sea,死海,cedict
areas outside the city,野外,cedict
encircling the city,环城,cedict
the forbidden city,故宫,cedict
the monastic community,僧伽,cedict
the situation is tense,风声紧,cedict
the calligraphic community,书坛,cedict
st mark the evangelist,马尔谷,cedict
the current imperial dynasty,圣朝,cedict
the opposite sex,异性,cedict
the northern sea,溟池,cedict
above the fray,忘机,cedict
the exam date,考期,cedict
the pagoda bearing god,托塔天王,cedict
the true god,真神,cedict
the following section,后段,cedict
the critical moment,生死关头,cedict
the current reigning emperor,圣躬,cedict
the minutest detail,秋毫,cedict
the common silkworm,家蚕,cedict
the wrong bus,错车,cedict
the apollo project,太阳神计划,cedict
the southern cross,南十字座,cedict
the situation is grim,形势严峻,cedict
the northern expeditionary army,北伐军,cedict
the current dynasty,国朝,cedict
the lingering death,凌迟,cedict
the middle generation,中生代,cedict
the ten commandments,十戒,cedict
behind the scenes,内幕,cedict
behind-the-scenes supporter,后台,cedict
changes behind the scenes,潜移,cedict
meaning behind the words,口风,cedict
the hausa language,豪萨语,cedict
to work on a train,跑车,cedict
the situation is hopeless,病入膏肓,cedict
beyond the earth,天外,cedict
the communist youth league,共产主义青年团,cedict
the following morning,明朝,cedict
the analytic method,分析法,cedict
the emperor's bed,龙床,cedict
the greater self,大我,cedict
following the model,沿例,cedict
lower the curtain,闭幕,cedict
the sieve method,筛法,cedict
the previous dynasty,前朝,cedict
the axiomatic method,公理法,cedict
the correct path,正道,cedict
the key trick,要诀,cedict
the northern song dynasty,北宋,cedict
the entire sum,全数,cedict
the yellow river basin,黄河流域,cedict
the fourth wall,第四堵墙,cedict
the united states,合众国,cedict
throughout the united states,全美,cedict
the detailed story,根由,cedict
cannot bear the burden,负担不起,cedict
the working poor,穷忙族,cedict
filling the entire sky,弥天,cedict
the heart sutra,心经,cedict
the pan-pearl river delta,泛珠江三角,cedict
hidden beneath the surface,潜藏,cedict
the imperial college,国学,cedict
propitious wind throughout the journey,一帆风顺,cedict
the double ninth festival,重九,cedict
the sun's corona,日冕层,cedict
facing the sun,向阳,cedict
tending towards the sun,喜阳,cedict
the rising sun,旭日,cedict
the setting sun,夕阳,cedict
the sun shines brightly,阳光明媚,cedict
the sun shines fiercely,骄阳似火,cedict
the animal kingdom,后生动物,cedict
the vast majority,绝大多数,cedict
bordering the sea,滨海,cedict
respect the aged,尊老,cedict
the customer reigns supreme,顾客至上,cedict
the damage is done,覆水难收,cedict
the band-tightening spell,紧箍咒,cedict
the capital theater,首都剧场,cedict
the genuine article,本尊,cedict
the autumn wind is soughing,秋风飒飒,cedict
the earth's core,地心,cedict
the cockroach principle,老鼠拖木锨，大头在后头,cedict
the soft knife,软刀子,cedict
the silver screen,银屏,cedict
the breeding season,发情期,cedict
the flowering season,花期,cedict
the fruiting season,果期,cedict
the rutting season,动情期,cedict
the season changes,换季,cedict
the western pacific ocean,西太平洋,cedict
to ask for a beating,招打,cedict
to ask for a favor,求情,cedict
the southern song dynasty,南宋,cedict
to write for a living,摇笔杆,cedict
the teacher's seat,讲筵,cedict
the prime meridian,本初子午线,cedict
the faction seeking peace,鸽派,cedict
the peace faction,主和派,cedict
his excellency the army commander,师座,cedict
the qin army,秦军,cedict
the qing army,清军,cedict
the northern hemisphere,北半球,cedict
burning the midnight oil,聚萤映雪,cedict
the summer solstice,夏至点,cedict
the western hemisphere,西半球,cedict
the cool autumn breeze,秋风送爽,cedict
the northern zhou dynasty,北周,cedict
the western paradise,西天,cedict
the earth's crust,地壳,cedict
the entire internet,全网,cedict
the ordinary daily routine,吃喝拉撒睡,cedict
the earth's axis,地轴,cedict
to make use of,使用,cedict
beyond the topmost clouds,九霄云外,cedict
scratching the surface,不痛不痒,cedict
the direction indicated,指向,cedict
the bright moon,皎月,cedict
the northern warlords,北洋军阀,cedict
the palace guard,禁卫,cedict
the idle rich,有钱有闲,cedict
the vast sky,长空,cedict
following the author's fancy,嬉笑怒骂,cedict
to study for a degree,念学位,cedict
completing the square,配方,cedict
facing the wind,迎风,cedict
the chinese communist regime,兲朝,cedict
throwing the embroidered ball,抛绣球,cedict
the beaten track,成规,cedict
the absolute beginning,太初,cedict
the pages ahead,后文,cedict
the imperial guard,龙韬,cedict
the qinghai-tibet route,青藏线,cedict
the distant sky,远天,cedict
the enemy's rear,敌后,cedict
the crystal palace,水晶宫,cedict
the imperial palace,金阙,cedict
the spring equinox,春分点,cedict
the winter solstice,冬至点,cedict
the vast ocean,烟海,cedict
to contract for a job,包工,cedict
the ramifications are huge,事关重大,cedict
the broken bridge,断桥,cedict
the song dynasty,两宋,cedict
the contemporary era,当代,cedict
the eastern hemisphere,东半球,cedict
the older generation,老辈,cedict
the younger generation,子弟,cedict
the sum owed,欠债,cedict
the holy roman empire,神圣罗马帝国,cedict
the central administration,中枢,cedict
membranes lining the brain,脑膜,cedict
the southern hemisphere,南半球,cedict
the grand canyon,科罗拉多大峡谷,cedict
the wolf prize,沃尔夫奖,cedict
the highest rank,一品,cedict
covering the sky,横空,cedict
reaching the sky,连天,cedict
filling the atmosphere,横空,cedict
the ferghana valley,费尔干纳,cedict
the japanese armed forces,自卫队,cedict
the yellow springs,黄泉,cedict
the higgs mechanism,希格斯机制,cedict
the parallel postulate,平行公设,cedict
the grass roots,草民,cedict
the enemy ranks,敌阵,cedict
the silent treatment,冷暴力,cedict
the imperial throne,龙椅,cedict
magic the gathering,万智牌,cedict
the australian continent,澳大利亚洲,cedict
the dust has settled,已见分晓,cedict
the iwakura mission,岩仓使节团,cedict
the autumn equinox,秋分点,cedict
the us federal government,华府,cedict
the lantern festival,灯节,cedict
willfully slaughter the innocent,滥杀无辜,cedict
the qingming festival,寒食,cedict
the thief cries thief,恶人先告状,cedict
your majesty the emperor,皇上,cedict
the cambrian explosion,寒武爆发,cedict
the curtain drops,落幕,cedict
the curtain falls,闭幕,cedict
heaven helps the worthy,吉人自有天相,cedict
the holy scriptures,圣经,cedict
the bottomless pit,无底坑,cedict
the kuiper belt,库珀带,cedict
the continuum hypothesis,连续统假设,cedict
the jade emperor,玉帝,cedict
the planet mars,荧惑,cedict
the dragon throne,龙椅,cedict
to sell or dispose of,脱手,cedict
the kangxi emperor,康熙,cedict
the qianlong era,乾隆,cedict
the virgin mary,圣母,cedict
the chinese remainder theorem,孙子定理,cedict
the remainder theorem,剩余定理,cedict
using the toilet,大小便,cedict
the aids virus,爱滋病毒,cedict
the implications are profound,事关重大,cedict
the true essence,真谛,cedict
entirely outside the norm,一反常态,cedict
to rest for a bit,小憩,cedict
the rice is cooked,生米煮成熟饭,cedict
the syriac script,叙利亚文,cedict
exotic odors assail the nostrils,异香扑鼻,cedict
cutting the gordian knot,快刀斩乱麻,cedict
the centrist faction,中立派,cedict
the reformist faction,维新派,cedict
the chinese lunar calendar,旧历,cedict
the lunar calendar,农历,cedict
the traditional chinese lunar calendar,夏历,cedict
the earliest ancestor,鼻祖,cedict
the chinese edible frog,田鸡,cedict
the traditional chinese calendar,农历,cedict
the afrotropical realm,埃塞俄比亚界,cedict
the feminine arts,女红,cedict
the jade hare,玉兔,cedict
to start on a new,另开,cedict
whet the appetite,开味,cedict
gilding the lily,多此一举,cedict
the prehistoric shang dynasty,商代,cedict
the tang dynasty,大唐,cedict
the lotus sutra,妙法莲华经,cedict
the nanjing massacre,南京大屠杀,cedict
teaching the ignorant,蒙求,cedict
the han dynasty,汉代,cedict
the later jin dynasty,金国汗,cedict
the ming dynasty,明代,cedict
the antarctic peninsula,南极洲半岛,cedict
the crimean peninsula,克里木,cedict
the iberian peninsula,伊比利亚,cedict
the latin alphabet,罗马字,cedict
blowing the trumpet,吹喇叭,cedict
the prophet muhammad,穆圣,cedict
john the baptist,施洗约翰,cedict
st john the baptist,洗者若翰,cedict
the empress dowager,母后,cedict
the pelvic cavity,盆腔,cedict
the bering strait,白令海峡,cedict
the binomial theorem,二项式定理,cedict
the sage confucius,孔圣人,cedict
the boxer uprising,义和乱,cedict
the lofty heights,险峰,cedict
st luke the evangelist,路加,cedict
st matthew the evangelist,玛窦,cedict
the holocene epoch,全新世,cedict
the nirvana sutra,大本涅槃经,cedict
the opium wars,鸦片战争,cedict
winnie the pooh,维尼熊,cedict
the bubonic plage bacillus,鼠疫杆菌,cedict
the okinawa archipelago,冲绳群岛,cedict
the dalai lama,达赖,cedict
the greenwich meridian,格林尼治本初子午线,cedict
jack the ripper,开膛手杰克,cedict
to switch on and off,开关,cedict
the chartist movement,宪章派,cedict
the hoi polloi,市井小民,cedict
the japanese kana scripts,假名,cedict
appreciating the arts,审美,cedict
assaults the nostrils,扑面,cedict
facing the goalmouth,临门,cedict
filling the eyes,满眼,cedict
fills the eyes,满目,cedict
sacking the worst-performing employee,末位淘汰,cedict
smacking the lips,吧唧吧唧,cedict
the andes mountains,安地斯,cedict
the arabian nights,天方夜谭,cedict
the china seas,中国海,cedict
the confucian classics,圣经,cedict
the countries involved,当事国,cedict
the floating ribs,季肋,cedict
the following pages,后文,cedict
the hindu kush,兴都库什,cedict
the indian subcontinent,天竺,cedict
the isoperimetric inequality,等周不等式,cedict
the lowest professions,下九流,cedict
the madeira islands,马德拉群岛,cedict
the ming tombs,明十三陵,cedict
the objects indicated,所指,cedict
the olden days,旧时,cedict
the preceding statement,前述,cedict
the russian federation,俄联邦,cedict
the ryukyu islands,硫球,cedict
the straits times,海峡时报,cedict
the surrounding words,前后文,cedict
the toiling masses,短衣帮,cedict
throughout the ages,千秋万代,cedict
to stop for a rest,停歇,cedict
to flash on and off,明灭,cedict
to catch and hold on,接着,cedict
to read and pass on,传阅,cedict
not to pay attention to,不去理,cedict
to pray for a son,求子,cedict
to sing for a living,卖唱,cedict
to beg for a loan,乞贷,cedict
to atone for a crime,折罪,cedict
to contend for a mate,夺偶,cedict
not to submit to force,威武不屈,cedict
to hold on to,守住,cedict
next-to-last item on a program,压轴戏,cedict
to put on a play,做戏,cedict
let it be,算了,cedict
to catch and feed on,捕食,cedict
to dote on and trust,宠信,cedict
not to refuse to,在所不辞,cedict
not to object to,不厌,cedict
to work as a doctor,从医,cedict
to keep a hold on,拴住,cedict
to speak out of turn,多嘴,cedict
to use  as a tool,当枪使,cedict
to say nothing of,何况,cedict
to pass on to,转给,cedict
to spit on and curse,唾骂,cedict
not to hesitate to,在所不辞,cedict
to not conform to,不合,cedict
to use as a venue,假座,cedict
to take as a concubine,收房,cedict
to run out of food,断粮,cedict
to take good care of,呵护,cedict
to act out of malice,泄私愤,cedict
to reject out of hand,一笔抹杀,cedict
to do a follow-up,随访,cedict
to drop out of school,辍学,cedict
to have in care,照看,cedict
to aim to get by,浅希近求,cedict
to work as a prostitute,做鸡,cedict
to take a look at,看看,cedict
to suffer all kinds of,受尽,cedict
to work as a foreman,领工,cedict
to hate to part with,舍不得,cedict
to work as a laborer,务工,cedict
to work as a pharmacist,悬壶,cedict
to work as a teacher,任课,cedict
to cling on to,攀附,cedict
to include on a list,列入,cedict
to take an end-of-term exam,大考,cedict
to come as a surprise,出人意表,cedict
a member of one's clique,私人,cedict
to count all of them,尽数,cedict
to step out of line,越轨,cedict
to help out of difficulties,解救,cedict
a tooth for a tooth,以牙还牙,cedict
to give as a present,奉赠,cedict
to start on a story,开讲,cedict
to run out of,断货,cedict
to put a lid on,加盖,cedict
to put on a spurt,猛劲儿,cedict
to investigate and deal with,究办,cedict
a shill for a clinic,医托,cedict
to settle out of court,私了,cedict
to turn on a screen,亮屏,cedict
to play a prank on,整蛊,cedict
to break out of prison,越狱,cedict
to start on a journey,上路,cedict
to get hold of,到手,cedict
to squeeze out of business,挤垮,cedict
to appear out of nowhere,空降,cedict
to leave out of consideration,付之度外,cedict
to pass on a present,转赠,cedict
all members of a group,上下,cedict
distant and out of sight,杳茫,cedict
to have confidence in,信任,cedict
to have confidence in oneself,自信,cedict
to stay out of trouble,躲风,cedict
to have faith in,信服,cedict
to give as a dowry,陪送,cedict
to pass on a story,传话,cedict
to make light of,一笑置之,cedict
to make sure of,认准,cedict
to pass on a task,转托,cedict
to knock on a door,叩门,cedict
to pass on a copy,传写,cedict
to stay out of,躲开,cedict
to get free of,解脱,cedict
to quote out of context,断章取义,cedict
to stand as testament to,诉说,cedict
to pass on a song,传唱,cedict
to get an idea of,探知,cedict
to make sense of,弄懂,cedict
unable to make sense of,弄不懂,cedict
to send  on a mission,派遗,cedict
to dress as a man,女扮男装,cedict
to slip out of gear,跳挡,cedict
to confer a title on,册立,cedict
to refer to oneself as,自喻,cedict
to pop out of gear,跳挡,cedict
to pull on a handle,拉手,cedict
to step on a mine,踩雷,cedict
to make sport of,消遣,cedict
to make fun of,取闹,cedict
to think little of,渺视,cedict
to fly on a crane,乘鹤,cedict
to spur on a horse,跃马,cedict
to default on a debt,拖债,cedict
to cook on a skewer,串烧,cedict
to make nothing of hardships,不辞辛苦,cedict
to renege on a debt,赖账,cedict
to get rid of ice,除冰,cedict
to embark on a journey,成行,cedict
to take care of,张罗,cedict
to take care of matters,理事,cedict
to take care of oneself,保重,cedict
to take loving care of,顾惜,cedict
to overtake on a bend,弯道超车,cedict
to lean on a parapet,凭栏,cedict
to default on a mortgage,断供,cedict
all of a sudden,一下子,cedict
impossible to get rid of,挥之不去,cedict
to get rid of,做掉,cedict
to hoop on a basket,筲箍,cedict
to take leave of,别离,cedict
can be used for,可作,cedict
minister of land and people,司徒,cedict
to take note of,留意,cedict
to play with a ball,打球,cedict
to act as a guardian,监护,cedict
to think better of,转念,cedict
to dress as a woman,男扮女装,cedict
to take charge of,主持,cedict
to act as a matchmaker,说媒,cedict
to act as a middleman,撮合,cedict
to compare a product with,对标,cedict
to take notice of,理会,cedict
to wake with a start,惊醒,cedict
to meet with a rebuff,抹一鼻子灰,cedict
to meet with a mishap,出事,cedict
to meet with a refusal,遭拒,cedict
to take advantage of,利用,cedict
to take advantage of weakness,乘虚,cedict
to take stock of,概观,cedict
to expose with a word,点破,cedict
to live as a widow,寡居,cedict
to live as a bachelor,打光棍,cedict
to come of age,成丁,cedict
to keep as a souvenir,留念,cedict
to leave with a client,出台,cedict
to live as a refugee,流离,cedict
to live as a widower,鳏居,cedict
late season of a year,岁阑,cedict
to take possession of,到手,cedict
to think fondly of,眷念,cedict
to think highly of,推崇,cedict
to think highly of oneself,自鸣得意,cedict
to think of,思念,cedict
to pack it in,收山,cedict
to close with a latch,锁定,cedict
to stand as a goalkeeper,把门,cedict
to go to one's head,冲昏头脑,cedict
if this can be done,倘能如此,cedict
to remain as a garrison,留驻,cedict
not be without some advantage,不无小补,cedict
to present as a gift,赠送,cedict
to give an account of,汇报,cedict
to thank with a gift,酬答,cedict
to rule as a despot,横行霸道,cedict
to shoot with a gun,枪击,cedict
to protect with a password,加密,cedict
to serve as a counselor,持橐簪笔,cedict
to serve as a stopgap,凑数,cedict
to serve as a warning,以示警戒,cedict
to do a good turn,帮忙,cedict
to fight with a bayonet,刺杀,cedict
to dismiss with a laugh,一笑置之,cedict
a period of time,一时,cedict
to benefit thousands of people,造福万民,cedict
to comply with a request,照办,cedict
to ride as a passenger,乘搭,cedict
to go up and down,上下,cedict
a fine work of art,妙品,cedict
to prick with a needle,针刺,cedict
matter of life and death,生死存亡,cedict
to stab with a spear,揘毕,cedict
february of a common year,平月,cedict
to immobilize with a lasso,套牢,cedict
to copulate with a concubine,临幸,cedict
to haggle with a peddler,侃价,cedict
to throw a look at,张望,cedict
to die of old age,寿终,cedict
a time of military urgency,戎事倥偬,cedict
to do a good job,搞好,cedict
to appraise people of talent,甄陶,cedict
inexpensive and of good quality,价廉物美,cedict
right-hand side  of a vehicle,外手,cedict
full of power and grace,鸾翔凤翥,cedict
a new lease of life,更生,cedict
full of power and grandeur,雄壮,cedict
quarter of a year,季度,cedict
place of charm and beauty,别有洞天,cedict
penniless and full of care,穷愁,cedict
back end of a ship,船尾,cedict
way of experiencing a place,玩法,cedict
such a small amount of,这么点,cedict
to undertake to do something,承诺,cedict
beginning of a year,开年,cedict
people of a nation,国民,cedict
to dare to do,敢为,cedict
money and things of value,钱物,cedict
of great erudition and scholarship,学富五车,cedict
to keep control of,收揽,cedict
chain of cause and effect,因缘,cedict
to scramble to do,抓挠,cedict
people of a country,国族,cedict
first third of a month,上旬,cedict
extant work of a calligrapher,书迹,cedict
system of weights and measures,衡量制,cedict
like a wisp of smoke,一溜烟,cedict
mouth of a well,井口,cedict
to go out to meet,出迎,cedict
to become aware of,察觉,cedict
to take a lesson from,引以为鉴,cedict
left-hand side  of a vehicle,里手,cedict
full of trouble and misfortune,坎坷多舛,cedict
to go and come back,往复,cedict
a lot of people,千夫,cedict
in order to do this,为此,cedict
to tell of,诉说,cedict
to show signs of anger,作色,cedict
three generations of a family,三代,cedict
short of food and clothing,缺衣少食,cedict
fifth day of a month,五号,cedict
thirteenth day of a month,十三日,cedict
angry and full of grievances,恼恨,cedict
lively and full of enthusiasm,精神抖擞,cedict
land of fish and rice,鱼米之乡,cedict
full of joy and expectations,兴冲冲,cedict
full of craft and cunning,诡计多端,cedict
university of science and engineering,理工大学,cedict
mixture of love and hate,爱恨交织,cedict
period of peace and prosperity,光风霁月,cedict
ministry of health and welfare,厚生省,cedict
to fall short of,不及,cedict
to become more and more,渐趋,cedict
fractional part of a number,小数,cedict
three of a kind,三条,cedict
a sea of people,人海,cedict
land of milk and honey,鱼米之乡,cedict
end of a show,散戏,cedict
to keep at a distance,远避,cedict
to do a body search,抄靶子,cedict
spirit of loyalty and self-sacrifice,义气,cedict
to do a blood test,验血,cedict
a great number of students,莘莘学子,cedict
dates of birth and death,生卒年,cedict
current state of a country,国情,cedict
to request leave of absence,请假,cedict
to speak ill of,褒贬,cedict
way of writing a character,写法,cedict
to clear oneself of dishonor,攘诟,cedict
wooden and slow of speech,木讷,cedict
to take to one's heels,撒腿,cedict
a tide of people,人潮,cedict
ministry of culture and tourism,文化和旅游部,cedict
department of gynecology and obstetrics,妇产科,cedict
a queue of people,人龙,cedict
to seize control of,攻占,cedict
to do a martial-art squat,蹲马步,cedict
a mob of people,暴民,cedict
a multitude of talented people,杞梓之林,cedict
list of emperors and kings,帝王谱,cedict
list of gods and immortals,神谱,cedict
to wrest control of,夺取,cedict
to go out to sea,下海,cedict
to struggle free of,挣脱,cedict
wife of a gay man,同妻,cedict
to assume office of,担任,cedict
to discuss matters of principle,务虚,cedict
a military show of force,示威,cedict
to do a urine test,尿检,cedict
to lose track of,跟丢,cedict
back of a chair,倚靠,cedict
to sell at a loss,割肉,cedict
to accept delivery of goods,提货,cedict
to hear of,耳闻,cedict
token member of a group,滥竽充数,cedict
to speak highly of,夸赞,cedict
to speak of,言说,cedict
to do a fitness test,体测,cedict
to do a lab test,化验,cedict
mixture of snow and rain,雨夹雪,cedict
to win by a landslide,大获全胜,cedict
a good deal of,好些,cedict
master of pen and sword,文武双全,cedict
old edition of a book,老本,cedict
a man of character,大丈夫,cedict
to turn one's back to,背转,cedict
end of a fixed term,期终,cedict
to fall foul of,蒙难,cedict
official name of a nation,国号,cedict
to do a spot check,抽查,cedict
